주문번호,회원ID,주문금액,주문일자,결제수단
10001,u001,"12,000",2023-01-05,카드
10002,u002,"8,500",2023-01-12,카드
10003,u003,"15,000",2023-01-28,현금
10004,u004,"3,000",2023-02-02,카드
10005,u001,"10,000",2023-02-06,계좌이체
10006,u002,"7,000",2023-02-14,카드
10007,u003,"12,000",2023-02-26,카드
10008,u001,"8,500",2023-03-03,카드
10009,u004,"15,000",2023-03-11,현금
10010,u002,"3,000",2023-03-19,카드
10011,u003,"10,000",2023-03-27,계좌이체
10012,u001,"7,000",2023-04-02,카드
10013,u002,"12,000",2023-04-06,카드
10014,u003,"8,500",2023-04-14,카드
10015,u004,"15,000",2023-04-18,현금
10016,u001,"3,000",2023-04-25,카드
10017,u002,"10,000",2023-04-29,계좌이체
10018,u003,"12,000",2023-05-04,카드
10019,u001,"8,500",2023-05-09,카드
10020,u004,"15,000",2023-05-16,현금
10021,u002,"3,000",2023-05-23,카드
10022,u001,"10,000",2023-06-02,계좌이체
10023,u002,"7,000",2023-06-07,카드
10024,u003,"12,000",2023-06-13,카드
10025,u004,"8,500",2023-06-18,카드
10026,u001,"15,000",2023-06-24,현금
10027,u002,"3,000",2023-06-29,카드
10028,u003,"12,000",2023-07-03,카드
10029,u001,"8,500",2023-07-08,카드
10030,u002,"15,000",2023-07-15,현금
10031,u004,"3,000",2023-07-21,카드
10032,u001,"10,000",2023-07-27,계좌이체
10033,u002,"7,000",2023-08-02,카드
10034,u003,"12,000",2023-08-06,카드
10035,u004,"8,500",2023-08-11,카드
10036,u001,"15,000",2023-08-17,현금
10037,u002,"3,000",2023-08-22,카드
10038,u003,"10,000",2023-08-29,계좌이체
10039,u001,"12,000",2023-09-04,카드
10040,u002,"8,500",2023-09-10,카드
10041,u003,"15,000",2023-09-18,현금
10042,u004,"3,000",2023-09-23,카드
10043,u001,"10,000",2023-09-28,계좌이체
10044,u002,"7,000",2023-10-03,카드
10045,u003,"12,000",2023-10-08,카드
10046,u001,"8,500",2023-10-14,카드
10047,u004,"15,000",2023-10-20,현금
10048,u002,"3,000",2023-10-26,카드
10049,u003,"10,000",2023-10-31,계좌이체
10050,u001,"12,000",2023-11-05,카드
10051,u002,"8,500",2023-11-09,카드
10052,u003,"15,000",2023-11-16,현금
10053,u004,"3,000",2023-11-22,카드
10054,u001,"10,000",2023-11-27,계좌이체
10055,u002,"7,000",2023-12-02,카드
10056,u003,"12,000",2023-12-07,카드
10057,u004,"8,500",2023-12-12,카드
10058,u001,"15,000",2023-12-18,현금
10059,u002,"3,000",2023-12-23,카드
10060,u003,"10,000",2023-12-29,계좌이체